ProductID,ProductName,Color
162,Metal Sheet 3,NA
163,Metal Sheet 7,NA
164,Metal Sheet 4,NA
165,Metal Sheet 5,NA
166,Metal Sheet 6,NA
167,Metal Sheet 1,NA
168,Metal Tread Plate,NA
169,LL Nipple,NA
170,HL Nipple,NA
171,Paint - Black,NA
172,Paint - Red,NA
173,Paint - Silver,NA
174,Paint - Blue,NA
175,Paint - Yellow,NA
176,Pinch Bolt,NA
177,Cup-Shaped Race,NA
178,Cone-Shaped Race,NA
179,Reflector,NA
180,LL Mountain Rim,NA
181,ML Mountain Rim,NA
182,HL Mountain Rim,NA
183,LL Road Rim,NA
184,ML Road Rim,NA
185,HL Road Rim,NA
186,Touring Rim,NA
187,LL Mountain Seat Assembly,NA
188,ML Mountain Seat Assembly,NA
189,HL Mountain Seat Assembly,NA
190,LL Road Seat Assembly,NA
191,ML Road Seat Assembly,NA
192,HL Road Seat Assembly,NA
193,LL Touring Seat Assembly,NA
194,ML Touring Seat Assembly,NA
195,HL Touring Seat Assembly,NA
196,LL Spindle/Axle,NA
197,HL Spindle/Axle,NA
198,LL Shell,NA
199,HL Shell,NA
200,Spokes,NA
201,Seat Lug,NA
202,Stem,NA
203,Seat Post,NA
204,Steerer,NA
205,Seat Stays,NA
206,Seat Tube,NA
207,Top Tube,NA
208,Tension Pulley,NA
209,Rear Derailleur Cage,Silver
